ID,acquired,reachable,request location,day,area,stereo,strips,duration,priority,priority mod,customer type mod,price,waiting time
0001,0,0,"[np.float64(15.44710738380311), np.float64(44.26004359952731)]",0,109.91413755877365,0,1,5.02172918653239,1,1,1,530,4
0002,0,0,"[np.float64(28.5374291168838), np.float64(121.4051091053946)]",0,684.513545731206,0,1,3.655392901531087,2,2,2,630,4
0003,0,0,"[np.float64(15.25554538800106), np.float64(44.20906438490839)]",0,143.85455364424334,0,1,3.1598839834712873,1,1,1,1227,8
0004,0,0,"[np.float64(23.14121532982099), np.float64(109.4723082068887)]",0,668.030063944765,0,1,6.167146980713458,4,4,3,1026,11
0005,0,0,"[np.float64(46.64604914512537), np.float64(-96.85205387171732)]",0,648.3163406005037,0,1,5.218287714664618,2,2,2,937,7
0006,0,0,"[np.float64(33.29993996705694), np.float64(120.0653702399933)]",0,810.4381959795929,0,2,5.623993573972649,4,4,3,825,8
0007,0,0,"[np.float64(42.51535800509554), np.float64(-88.11404510604852)]",0,140.4150499590008,0,1,6.530760736004787,2,2,2,766,7
0008,0,0,"[np.float64(37.49501624267489), np.float64(126.9636998961576)]",0,783.696668360302,0,2,6.355420785589358,3,3,3,785,10
0009,0,0,"[np.float64(-37.98511373976093), np.float64(144.8023654266634)]",0,999.2772494202908,0,2,2.260179801009362,2,2,2,790,3
0010,0,0,"[np.float64(-20.9452415423945), np.float64(-39.87658613409322)]",0,851.1914061373162,0,2,6.815431431770169,2,2,2,867,9
0011,0,0,"[np.float64(15.47525884532039), np.float64(45.32755468956115)]",0,752.0602642513386,0,2,5.196219842310269,2,2,2,985,12
0012,0,0,"[np.float64(41.70645915018596), np.float64(124.027445781214)]",0,662.5031893400129,1,1,4.350251184888636,2,2,2,1054,7
0013,0,0,"[np.float64(8.199430916173435), np.float64(3.862258611990478)]",0,422.359703200744,0,1,5.225116557608422,2,2,2,1456,5
0014,0,0,"[np.float64(-22.62510280287139), np.float64(-44.23792260937919)]",0,730.7696677237107,0,2,5.67470869074395,3,3,3,667,7
0015,0,0,"[np.float64(-23.56518405801522), np.float64(-51.98307639178967)]",0,724.4538571053127,0,2,2.897037859242782,2,2,2,1360,7
0016,0,0,"[np.float64(43.91490960717124), np.float64(42.64983607990089)]",0,631.8667844046009,0,1,4.50449237195867,4,4,3,970,13
