ID,acquired,reachable,request location,day,area,stereo,strips,duration,priority,priority mod,customer type mod,price,waiting time
001,0,0,"[np.float64(30.63757178492814), np.float64(29.93743929627551)]",0,155.4579021488334,0,1,7.668865126796833,3,3,3,1495,12
002,0,0,"[np.float64(15.3427596288542), np.float64(44.2346711001931)]",0,269.30908211565713,0,1,2.4800876469619273,3,3,3,933,2
003,0,0,"[np.float64(51.23999565447085), np.float64(7.31328020746024)]",0,65.50907265624426,0,1,6.589296243118523,4,4,3,843,7
004,0,0,"[np.float64(14.76959823779747), np.float64(-16.1333381560169)]",0,183.231476261814,0,1,4.7198692185637405,2,2,2,694,11
005,0,0,"[np.float64(15.33268459438334), np.float64(45.40338037821193)]",0,488.35380183430004,0,1,4.33382984784952,1,1,1,1421,7
006,0,0,"[np.float64(33.52130367124232), np.float64(116.8063769611798)]",0,345.5115250472041,0,1,6.1364678572869265,2,2,2,535,12
007,0,0,"[np.float64(27.09116414667865), np.float64(-109.4127318698908)]",0,204.7583549914579,0,1,3.597522112006194,2,2,2,1416,11
008,0,0,"[np.float64(38.89179125886753), np.float64(-73.82283052086814)]",0,147.45181514929322,0,1,2.1234873577015243,3,3,3,704,13
009,0,0,"[np.float64(35.62987324961326), np.float64(0.1246188727070945)]",0,656.4150458602288,0,1,3.28401708692009,4,4,3,1319,7
0010,0,0,"[np.float64(42.38827091628898), np.float64(-8.49349688780998)]",0,558.5442744959782,0,1,3.1095504602550132,1,1,1,1150,4
0011,0,0,"[np.float64(41.91969639369898), np.float64(120.8825147099991)]",0,842.7976719026531,1,1,2.204296289321375,3,3,3,1275,7
0012,0,0,"[np.float64(37.9944519060266), np.float64(-121.9147938624178)]",0,184.0696328420257,0,1,3.927892496157928,2,2,2,556,4
0013,0,0,"[np.float64(15.45581231131253), np.float64(45.36894274303858)]",0,848.1374744683179,0,2,4.847111201084839,3,3,3,609,11
0014,0,0,"[np.float64(40.96549131835525), np.float64(129.1030546412447)]",0,578.3332613872963,0,1,6.414972182303471,2,2,2,1185,10
0015,0,0,"[np.float64(38.3827005829648), np.float64(68.18890027972762)]",0,266.9569707857359,0,1,3.953967952955581,1,1,1,995,8
0016,0,0,"[np.float64(10.86906205496359), np.float64(107.1900815224596)]",0,274.2795874279427,0,1,3.1672415939464607,3,3,3,1217,14
0017,0,0,"[np.float64(31.03278181291179), np.float64(104.4029732396626)]",0,390.99000975370853,0,1,3.3837186155216323,3,3,3,724,5
0018,0,0,"[np.float64(12.53026569121863), np.float64(8.700910491170207)]",0,460.66708945012743,0,1,7.347062474970287,3,3,3,885,4
0019,0,0,"[np.float64(17.32331531731089), np.float64(74.29979175448142)]",0,83.42257965214579,0,1,3.228322438504213,3,3,3,563,7
0020,0,0,"[np.float64(27.06543720001891), np.float64(56.14235632273806)]",0,842.1571665006616,0,2,7.275444005099062,3,3,3,1263,10
0021,0,0,"[np.float64(54.82297473956941), np.float64(55.77283698318541)]",0,122.41952825486987,0,1,4.682593972926773,1,1,1,1447,4
0022,0,0,"[np.float64(35.71389378659219), np.float64(36.70207253342981)]",0,483.97638318685176,0,1,7.606402594091159,4,4,3,1460,9
0023,0,0,"[np.float64(-33.0491248747741), np.float64(-71.6499149451426)]",0,383.58526495773083,0,1,4.448552817828192,1,1,1,1278,7
0024,0,0,"[np.float64(18.33090693730339), np.float64(73.70117286861432)]",0,512.7747972276309,0,1,3.066097602834904,3,3,3,1401,5
0025,0,0,"[np.float64(28.10243289381832), np.float64(106.664718585556)]",0,887.5950345511038,0,2,5.294179575268026,2,2,2,851,6
0026,0,0,"[np.float64(34.90085176593495), np.float64(135.0445482737043)]",0,989.0992515162501,0,2,5.526239617094406,2,2,2,962,4
0027,0,0,"[np.float64(45.50549700332417), np.float64(26.95675704549197)]",0,21.2511013100756,0,1,5.812935819639618,3,3,3,1343,3
0028,0,0,"[np.float64(-41.26103039007214), np.float64(174.6567039077751)]",0,393.84619229346896,0,1,4.468980310817163,4,4,3,819,10
0029,0,0,"[np.float64(35.08020700577351), np.float64(108.0991195646698)]",0,817.7929203863263,0,2,2.291608044766971,3,3,3,856,14
0030,0,0,"[np.float64(28.2526205265435), np.float64(30.78863292207927)]",0,327.27627738171503,0,1,5.760319537697072,1,1,1,592,4
0031,0,0,"[np.float64(37.4314040693389), np.float64(126.8372393730017)]",0,649.3871397426032,0,1,7.598180925601831,4,4,3,1194,7
0032,0,0,"[np.float64(15.42495226389465), np.float64(44.18953098119557)]",0,992.266944562694,0,2,7.7453517710343815,4,4,3,799,6
0033,0,0,"[np.float64(15.45058864625564), np.float64(45.41256118734638)]",0,647.1245175271279,0,1,5.5813122071660874,1,1,1,1225,11
0034,0,0,"[np.float64(35.40048901728815), np.float64(-89.94105847160465)]",0,112.08018624564565,0,1,2.1193221077265907,4,4,3,993,12
0035,0,0,"[np.float64(15.2923887388045), np.float64(44.23330739673958)]",0,843.0890249970316,0,2,2.636230885092874,3,3,3,1153,9
0036,0,0,"[np.float64(-6.92430568171854), np.float64(106.7399302311254)]",0,966.6907798552371,0,2,7.003943154616657,3,3,3,1094,6
0037,0,0,"[np.float64(39.3547228231108), np.float64(115.7853521894979)]",0,712.7959128775688,0,2,6.978466625920053,2,2,2,888,12
0038,0,0,"[np.float64(40.33709396384561), np.float64(-104.2016485672987)]",0,419.64903174322717,0,1,7.676093631610172,1,1,1,1110,9
0039,0,0,"[np.float64(-33.13217557972659), np.float64(-68.94243257995237)]",0,948.451775170079,0,2,5.382646537200879,4,4,3,1292,12
0040,0,0,"[np.float64(15.43392485301), np.float64(45.3460413915903)]",0,968.6034430341491,0,2,7.182897766810635,4,4,3,933,6
0041,0,0,"[np.float64(9.327999614295983), np.float64(-79.79432138199263)]",0,935.1816267556583,0,2,6.949321554091264,4,4,3,601,12
