section,metric,value
scenario,requests,351
scenario,attempts,5516
scenario,stereo_pairs,600
scenario,avg_angle,20.837170
scenario,avg_area,474.963787
scenario,avg_price,988.296773
scenario,avg_sun_elevation,56.195762
scenario,avg_cloud_cover,7.604217
scenario,avg_priority,2.473532
scenario_raw,requests,351
scenario_raw,attempts,6212
scenario_raw,avg_angle,20.607803
scenario_raw,avg_area,482.317561
scenario_raw,avg_price,994.473599
scenario_raw,avg_sun_elevation,56.476896
scenario_raw,avg_cloud_cover,7.461854
scenario_raw,avg_priority,2.523503
solution,acquisitions,439
solution,unique_requests_served,336
solution,total_score,243.1051191242752338
solution,ofv,-243.1051191242762286
solution,total_profit,429102.000000
solution,total_area,241529.391701
solution,avg_cloud_cover,7.486917
solution,cloud_good_lt10,291
solution,cloud_bad_gt30,0
solution,avg_angle,21.972951
solution,angle_good_le10,27
solution,angle_bad_ge30,25
solution,avg_priority,2.492027
solution,priority_1,111
solution,priority_2,108
solution,priority_3,113
solution,priority_4,107
solution,avg_sun_elevation,55.964242
rko,best_mh,IPR
rko,time_to_best,569.200
rko,solver_time,607.858
rko,total_time,607.871
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,28
rko,stereo_acq_selected,56
rko,strip_acq_selected,150
