section,metric,value
scenario,requests,270
scenario,attempts,2335
scenario,stereo_pairs,139
scenario,avg_angle,23.129020
scenario,avg_area,501.631457
scenario,avg_price,992.796146
scenario,avg_sun_elevation,58.739534
scenario,avg_cloud_cover,25.752519
scenario,avg_priority,2.600000
scenario_raw,requests,270
scenario_raw,attempts,2399
scenario_raw,avg_angle,22.946591
scenario_raw,avg_area,501.612574
scenario_raw,avg_price,991.632764
scenario_raw,avg_sun_elevation,58.677551
scenario_raw,avg_cloud_cover,25.760147
scenario_raw,avg_priority,2.614006
solution,acquisitions,179
solution,unique_requests_served,133
solution,total_score,96.8628595248018911
solution,ofv,-96.8628595248021327
solution,total_profit,178866.000000
solution,total_area,101899.969976
solution,avg_cloud_cover,25.882024
solution,cloud_good_lt10,2
solution,cloud_bad_gt30,44
solution,avg_angle,22.352776
solution,angle_good_le10,10
solution,angle_bad_ge30,11
solution,avg_priority,2.648045
solution,priority_1,38
solution,priority_2,42
solution,priority_3,44
solution,priority_4,55
solution,avg_sun_elevation,54.071893
rko,best_mh,BRKGA
rko,time_to_best,900.369
rko,solver_time,900.832
rko,total_time,900.841
rko,pool_diversity,10
rko,pool_size,10
rko,stereo_pairs_complete,14
rko,stereo_acq_selected,27
rko,strip_acq_selected,69
