instance,run,seed,maxtime,timestamp,n,n_raw,requests,score,ofv,acquisitions,unique_requests_served,total_profit,total_area,time_to_best,solver_time,total_time,best_mh,pool_diversity,pool_size,stereo_pairs_complete,stereo_acq_selected,strip_acq_selected
250_8h_1sat,1,7,60,2026-08-18T01:17:29,191,206,19,16.3592233009708750,-16.3592233009708892,30,19,33748.000000,19831.761498,0.063,60.004,60.005,BRKGA,6,10,4,7,14
250_12h_1sat,1,7,60,2026-08-18T01:19:34,214,229,21,18.4366812227074170,-18.4366812227074419,34,21,38440.000000,23389.742911,3.996,60.016,60.017,GA,7,10,4,7,18
250_8h_2sat,1,7,60,2026-08-18T01:20:34,362,385,23,18.3480519480519497,-18.3480519480519710,34,23,37915.000000,20861.642561,1.014,60.016,60.017,GA,7,10,4,7,14
500_8h_1sat,1,7,60,2026-08-18T01:21:34,383,423,41,30.5910165484633580,-30.5910165484633971,55,40,51555.000000,27051.341892,10.080,60.006,60.007,GA,10,10,10,19,10
250_12h_2sat,1,7,60,2026-08-18T01:22:35,401,424,25,20.2028301886792541,-20.2028301886792647,38,25,42607.000000,24419.623975,1.066,60.004,60.005,BRKGA,6,10,4,7,18
500_12h_1sat,1,7,60,2026-08-18T01:23:35,416,456,44,32.8026315789473699,-32.8026315789474125,59,43,55647.000000,29492.084979,12.598,60.018,60.019,GA,10,10,10,19,12
250_8h_3sat,1,7,60,2026-08-18T01:24:35,578,608,46,32.1595394736842195,-32.1595394736842479,60,45,67368.000000,32365.054222,3.603,60.019,60.020,BRKGA,10,10,6,11,18
250_12h_3sat,1,7,60,2026-08-18T01:25:35,627,657,49,34.4490106544901096,-34.4490106544901522,65,48,73449.000000,35994.249772,8.109,60.011,60.013,BRKGA,10,10,6,11,22
250_24h_1sat,1,7,60,2026-08-18T01:26:35,718,746,72,56.5670241286863202,-56.5670241286864339,101,71,108683.000000,65643.484173,55.519,60.012,60.013,BRKGA,10,10,7,15,45
250_8h_4sat,1,7,60,2026-08-18T01:27:36,733,961,48,35.7304890738813867,-35.7304890738814365,62,47,68852.000000,33238.390781,7.887,60.010,60.011,BRKGA,10,10,7,11,18
500_8h_2sat,1,7,60,2026-08-18T01:28:36,737,844,49,35.7973933649289151,-35.7973933649289506,65,48,61017.000000,31507.821736,6.945,60.010,60.011,BRKGA,10,10,10,19,14
500_12h_2sat,1,7,60,2026-08-18T01:29:36,791,898,52,38.0679287305122500,-38.0679287305123211,69,52,65248.000000,33624.841026,6.946,60.010,60.011,BRKGA,10,10,10,19,15
250_12h_4sat,1,7,60,2026-08-18T01:30:36,855,1083,51,37.1218836565096808,-37.1218836565097305,67,50,74933.000000,36867.586331,18.693,60.060,60.061,GA,10,10,6,11,22
1000_8h_1sat,1,7,60,2026-08-18T01:31:37,930,975,97,67.5158974358975001,-67.5158974358975854,119,89,114214.000000,69695.785310,55.163,60.011,60.013,BRKGA,10,10,8,15,44
1000_12h_1sat,1,7,60,2026-08-18T01:32:37,999,1046,102,71.7504780114722962,-71.7504780114724099,127,94,120639.000000,74360.328707,36.596,60.012,60.014,BRKGA,10,10,9,17,48
500_8h_3sat,1,7,150,2026-08-18T01:35:07,1196,1326,95,66.0603318250377498,-66.0603318250378919,121,90,116650.000000,62442.852010,131.436,150.020,150.022,BRKGA,10,10,14,27,36
500_12h_3sat,1,7,150,2026-08-18T01:37:37,1300,1430,103,71.6517482517482733,-71.6517482517484581,131,98,126522.000000,68555.305405,86.863,150.014,150.018,BRKGA,10,10,14,27,40
500_24h_1sat,1,7,150,2026-08-18T01:40:08,1331,1387,139,102.4679163662580095,-102.4679163662582368,183,134,176079.000000,101125.781748,89.164,150.012,150.015,BRKGA,10,10,16,34,64
